code,name,limit_pct,launch_date,end_date,run_length,max_obs_days,total_shares,pre_ret20,pre_vol,pre_amp,vol_ratio_l5_f10,vol_min_ratio,max_dd,gap_ups,ma_align,dist_from_high,last3_ret,last_day_vol_ratio,exch_avg,launch_price,launch_mcap_yi,ma5,ma10,ma20
sh600403,大有能源,0.1,2026-06-01,2026-06-08,6,6,2390812402.0,-0.14551607445008463,0.01700198890171875,0.19496045613389731,1.0370773621668277,0.693556923694441,0.15228426395939093,1,0,-0.1526845637583893,-0.007858546168958758,1.0610057382932647,0.7905,5.56,132.92916955119998,5.068,5.189,5.436999999999999
sz002717,*ST岭南,0.05,2026-06-02,2026-06-08,5,5,1820233558.0,-0.33576642335766427,0.030132421522601167,0.48843187660668375,1.972790628636617,0.10328738782487573,0.3525179856115107,0,0,-0.3636363636363636,0.011111111111111072,1.6873785292516552,4.833,0.96,17.4742421568,0.922,1.011,1.167
sh600537,*ST亿晶,0.05,2026-06-11,2026-06-17,5,5,1183715018.0,-0.3275862068965517,0.02927752497545886,0.4060575802962224,0.9980317787244563,0.5368489268773415,0.32758620689655177,0,0,-0.33898305084745767,-0.1268656716417912,1.1188030594451333,3.4155,2.46,29.119389442799996,2.548,2.788,3.0044999999999997
sh600353,旭光电子,0.1,2026-06-15,2026-06-22,5,5,828811159.0,0.3629453681710213,0.062153179328409795,0.4685038564618753,1.2542833080448013,0.6883603255577599,0.10004050222762262,1,1,-0.11093895258754266,0.0996550402453047,1.552956744699617,8.878499999999999,31.56,261.57280178039997,27.298000000000002,25.887999999999998,24.439500000000002
sh600397,江钨装备,0.1,2026-06-16,2026-06-23,5,5,989959882.0,0.10407569141193584,0.030658210375980318,0.20462213837390708,1.660823260763245,0.4845154082290787,0.07059679767103352,1,1,-0.026940346375881972,0.09768451519536892,1.7014547680277632,4.728,16.69,165.22430430580002,14.408000000000001,14.084,13.7815
sh603595,ST东尼,0.05,2026-06-18,2026-06-26,6,6,232442326.0,0.29106223678053333,0.032286677128357075,0.2809274677849479,0.9684128669367592,0.27015286276926076,0.08395158141351029,2,1,-0.022324592487597415,0.08238524911730094,0.8802741201580712,1.9415,28.97,67.33854184219999,26.216,25.261000000000003,24.561500000000002
sz002674,兴业科技,0.1,2026-06-18,2026-06-29,7,6,295550944.0,0.10906612133605997,0.0350996712472278,0.20790696163466846,1.403529616292065,0.4840240881021803,0.09392611145898559,0,1,-0.06386651323360182,0.016874999999999973,1.7111654160113565,3.8385,17.9,52.903618976,16.148000000000003,15.725999999999999,15.391499999999999
sz002822,ST中装,0.05,2026-06-23,2026-07-01,7,7,1950000000.0,-0.2119205298013246,0.014248027499738044,0.25397961008764086,1.5852985769870123,0.5941188714755292,0.21192052980132453,0,0,-0.2297734627831715,-0.06666666666666665,1.5859467827685796,0.8619999999999999,2.5,48.75,2.5100000000000002,2.6149999999999998,2.7954999999999997
sh600180,*ST瑞茂,0.05,2026-06-26,2026-07-02,5,5,1086627464.0,-0.19402985074626866,0.03982343450689912,0.40846639435573695,0.4083767872714887,0.11684559675712078,0.3374233128834355,4,0,-0.3374233128834355,-0.09999999999999987,0.11684559675712078,3.9575000000000005,1.13,12.278890343199999,1.17,1.239,1.3465
sz002175,*ST东智,0.05,2026-06-22,2026-07-06,6,5,1276780727.0,-0.1992187500000001,0.03216270627773232,0.3376729048006509,0.8156152984768893,0.5618036120912931,0.262589928057554,0,0,-0.2730496453900709,-0.06818181818181834,1.0709888987116465,2.5460000000000003,2.15,27.450785630499997,2.138,2.256,2.458
